HC,Data de julgamento,Unanimidade,Informacoes,Vencedores,Vencidos,Tipo,Pleito Analisado,NUNES MARQUES,ANDRÉ MENDONÇA,ALEXANDRE DE MORAES,DIAS TOFFOLI,ROBERTO BARROSO,EDSON FACHIN,GILMAR MENDES,CÁRMEN LÚCIA,LUIZ FUX,RICARDO LEWANDOWSKI,ROSA WEBER,MARCO AURÉLIO,CELSO DE MELLO,TEORI ZAVASCKI,JOAQUIM BARBOSA,AYRES BRITTO,CEZAR PELUSO,ELLEN GRACIE,EROS GRAU,MENEZES DIREITO,SEPÚLVEDA PERTENCE
HC 204375 AgR,2021-10-04,Sim,,10,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR. O MINISTRO GILMAR MENDES ACOMPANHOU O RELATOR COM RESSALVAS. PLENÁRIO, SESSÃO VIRTUAL DE 24.9.2021 A 1.10.2021.",1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
HC 189984 AgR-ED-EI-AgR,2021-09-08,Sim,,10,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, COM DETERMINAÇÃO DE BAIXA IMEDIATA DOS AUTOS, INDEPENDENTEMENTE DA PUBLICAÇÃO DO ACÓRDÃO, NOS TERMOS DO VOTO DO RELATOR. PLENÁRIO, SESSÃO VIRTUAL DE 27.8.2021 A 3.9.2021.",1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
HC 186006 AgR-ED-segundos-ED,2021-08-23,Sim,,10,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, REJEITOU OS EMBARGOS DE DECLARAÇÃO, COM DETERMINAÇÃO DE IMEDIATA CERTIFICAÇÃO DO TRÂNSITO EM JULGADO, INDEPENDENTEMENTE DA PUBLICAÇÃO DO ACÓRDÃO, NOS TERMOS DO VOTO DO RELATOR. PLENÁRIO, SESSÃO VIRTUAL DE 13.8.2021 A 20.8.2021.",1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
HC 192313 AgR,2021-08-17,Sim,,10,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR. PLENÁRIO, SESSÃO VIRTUAL DE 6.8.2021 A 16.8.2021.",1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
HC 202307 AgR,2021-08-03,Não,,9,1,AgR,"O TRIBUNAL, POR MAIORIA, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR, VENCIDO O MINISTRO MARCO AURÉLIO. IMPEDIDA A MINISTRA CÁRMEN LÚCIA. PLENÁRIO, SESSÃO VIRTUAL DE 25.6.2021 A 2.8.2021.",1,0,1,1,1,1,1,0,1,1,1,-1,0,0,0,0,0,0,0,0,0
HC 193726 AgR-segundo,2021-06-23,Não,,10,1,AgR," (SEG-AGR) O TRIBUNAL, POR MAIORIA, DEU PROVIMENTO AO SEGUNDO AGRAVO DA DEFESA PARA DECLARAR QUE A DECISÃO AGRAVADA NÃO RESULTOU NA PREJUDICIALIDADE DOS HABEAS CORPUS 164.493, 165.973, 190.943, 192.045, 193.433, 198.041, 178.596, 184.496, 174.988, 180.985, E NEM DAS RECLAMAÇÕES 43.806, 45.948, 43.969 E 45.325, NOS TERMOS DO VOTO DO MINISTRO GILMAR MENDES, REDATOR PARA O ACÓRDÃO, VENCIDOS OS MINISTROS EDSON FACHIN (RELATOR), ROBERTO BARROSO, MARCO AURÉLIO E LUIZ FUX (PRESIDENTE). OS MINISTROS ALEXANDRE DE MORAES, DIAS TOFFOLI E CÁRMEN LÚCIA JULGAVAM PARCIALMENTE PREJUDICADO O RECURSO, E, VENCIDOS, ACOMPANHARAM O VOTO DO MINISTRO GILMAR MENDES PARA DAR PROVIMENTO AO AGRAVO. PLENÁRIO, 23.06.2021 (SESSÃO REALIZADA POR VIDEOCONFERÊNCIA - RESOLUÇÃO 672/2020/STF).",1,0,1,1,1,1,-1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
HC 202216 ED,2021-06-21,Não,,9,1,ED,"O TRIBUNAL, POR MAIORIA, RECEBEU OS EMBARGOS DE DECLARAÇÃO COMO AGRAVO REGIMENTAL E NEGOU-LHE PROVIMENTO, NOS TERMOS DO VOTO DO RELATOR, VENCIDO O MINISTRO MARCO AURÉLIO. O MINISTRO GILMAR MENDES ACOMPANHOU O RELATOR COM RESSALVAS. IMPEDIDO O MINISTRO ROBERTO BARROSO. PLENÁRIO, SESSÃO VIRTUAL DE 11.6.2021 A 18.6.2021.",1,0,1,1,0,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0
HC 197833 AgR-ED,2021-06-08,Sim,,11,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AOS EMBARGOS DE DECLARAÇÃO, NOS TERMOS DO VOTO DO RELATOR, MINISTRO LUIZ FUX (PRESIDENTE). PLENÁRIO, SESSÃO VIRTUAL DE 28.5.2021 A 7.6.2021.",1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
HC 201091 AgR,2021-05-31,Sim,,11,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DA RELATORA. PLENÁRIO, SESSÃO VIRTUAL DE 21.5.2021 A 28.5.2021.",1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
HC 201070 AgR,2021-05-24,Sim,,10,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR. IMPEDIDA A MINISTRA ROSA WEBER. PLENÁRIO, SESSÃO VIRTUAL DE 14.5.2021 A 21.5.2021.",1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
